date,SC_AAPL,SC_AMZN,SC_GOOGL,SC_META,SC_MSFT,SC_F,SC_GM,SC_LCID,SC_RIVN,SC_TSLA
10/28/2025,0.083123569,0.045260656,0.099761255,0.066374061,0.079926241,0.073334672,0.05410922,0.046426984,0.060081818,0.079971852
10/29/2025,0.119727984,0.084163182,0.12598744,0.13567,0.093091463,0.038231452,0.024680258,0.044254902,0.036190377,0.092474894
10/30/2025,0.141178125,0.136634934,0.110206647,0.134531098,0.103523132,0.090320645,0.062442581,0.084204934,0.111291772,0.057299664
10/31/2025,0.136317094,0.193806587,0.146370833,0.15826386,0.126013718,0.091882323,0.065622335,0.086592233,0.079779695,0.049661161
11/1/2025,0.117468449,0.149324186,0.125528708,0.108027053,0.110458081,0.032640164,0.013769295,0.02275463,-0.000197458,0.024856221
11/2/2025,0.039777934,0.12232549,0.080080169,0.033383036,0.088013679,0.097665455,0.097017083,0.106436863,0.114155085,0.089338739
11/3/2025,0.067451625,0.179646442,0.108097131,0.121466522,0.083550853,0.0386875,0.048054212,0.034328736,0.061766182,-0.001094295
11/4/2025,0.026870886,0.075461053,0.041159761,0.012240989,0.047404762,0.041951931,0.035782667,0.024359677,0.046292576,-0.106552941
11/5/2025,0.070750638,0.050641627,0.122831897,0.025715278,0.031189952,0.035199237,0.021032061,0.014578656,0.026744231,-0.05315875
11/6/2025,0.046676344,0.055330153,0.146626774,0.088394982,0.089638328,0.068432353,0.063764931,0.065045139,0.053242308,0.033307527
11/7/2025,0.061293846,0.057334737,0.091477155,0.043060215,0.07828189,0.042985714,0.04458927,0.051176596,0.064780672,0.031838182
11/8/2025,0.072514343,0.074839344,0.086491765,0.034649187,0.073971321,0.073538865,0.09425368,0.089737778,0.106999563,0.105217766
11/9/2025,0.073409362,0.104853704,0.073471861,0.073711321,0.09864185,0.058991379,0.083262393,0.057505128,0.039592946,0.072190612
11/10/2025,0.068783406,0.087272,0.138396903,0.066977593,0.087685714,0.046588285,0.034045133,0.02487247,0.047249569,0.01715206
11/11/2025,0.044933884,0.034157021,0.058373684,0.077305019,0.03910687,0.05027871,0.081209275,0.019595,0.06487746,0.048968889
11/12/2025,0.068534286,0.080321338,0.075404473,0.047126481,0.053830769,0.122223744,0.109303571,0.114619388,0.117459048,0.08959061
11/13/2025,0.125585792,0.14708883,0.11441326,0.114540952,0.124335829,0.068834457,0.065446154,0.066635816,0.077897455,0.038819795
11/14/2025,0.057620939,0.097473529,0.019872378,0.075037956,0.088379197,0.089215612,0.085573364,0.054551724,0.094093043,0.079983898
11/15/2025,0.081940927,0.123198872,0.146235178,0.10292621,0.1349744,0.059113397,0.061456311,0.070274882,0.070644286,0.119960656
11/16/2025,0.089126829,0.099121505,0.08837766,0.108557346,0.080438265,-0.028451812,-0.040100337,-0.038228364,-0.037794737,-0.010799342
11/17/2025,0.004315789,0.011545357,0.112863433,-0.009396414,0.056555435,0.020639161,0.016383146,0.02354629,0.019225979,0.018762366
11/18/2025,0.038050758,0.014693571,0.026793311,0.060880282,0.00828659,0.018507042,0.008808145,-0.000577358,0.021763725,0.015468447
11/19/2025,0.048357576,0.028934722,0.016259426,0.021392562,0.009844853,0.0605,0.055371739,0.030418051,0.049352347,0.084935741
11/20/2025,0.117368627,0.11739661,0.159212308,0.034407609,0.08557098,0.039764014,0.046945704,0.015164769,0.025985616,0.015851538
11/21/2025,0.035673179,0.053017563,0.046861458,0.043602518,0.034267719,-0.050509195,-0.019322705,0.004459556,-0.02687875,-0.200647541
11/22/2025,-0.004570936,0.023570673,0.049390674,0.009307576,-0.005686935,0.067272441,0.090063942,0.15960297,0.133785227,0.082969919
11/23/2025,0.161963111,0.137779808,0.1773475,0.007305,0.133268201,0.058838655,0.063890592,0.062844364,0.065686713,0.017006478
11/24/2025,0.111441852,0.101282374,0.174245136,0.020948971,0.117475373,0.049903819,0.068033613,0.0440612,0.072494583,0.041076325
11/25/2025,0.067697211,0.111276245,0.094538567,0.005454275,0.045388285,0.11782,0.050066096,0.06653959,0.068789691,0.070233824
11/26/2025,0.061025,0.101897203,0.099719937,0.044279211,0.073892883,0.050178233,0.092679695,0.093692268,0.120083158,0.040995364
11/27/2025,0.085545729,0.097438587,0.067942012,0.069618932,0.117627315,0.088970925,0.032053943,0.043648571,0.046788679,0.084344053
11/28/2025,0.066339344,0.05656039,0.068805611,0.037399678,0.047795608,0.107411872,0.083857547,0.104950495,0.119779535,0.078229187
11/29/2025,0.122840625,0.169566364,0.081425571,0.219259483,0.144764317,0.079793952,0.075477404,0.092671674,0.105811842,0.047553612
11/30/2025,0.089610667,0.109627434,0.139221667,0.090177,0.111592488,0.056559836,0.079826855,0.070917603,0.075785657,-0.005228571
12/1/2025,0.077742205,0.08927433,0.101522553,0.067776087,0.061202353,0.051484345,0.03737907,0.027900457,0.060980342,0.053080858
12/2/2025,0.057046552,0.065673568,0.102730418,0.057798182,0.084610684,0.008140359,0.045332268,0.047394839,0.035117152,0.007601266
12/3/2025,0.053805556,0.090042724,0.05600602,0.041420073,0.028204893,0.068278177,0.017124123,0.018848963,0.00150898,0.05987983
12/4/2025,0.016080258,0.042513901,0.009722807,-0.025743542,0.008163362,0.47155,0.067057104,0.055664804,0.058894302,0.31804
12/5/2025,0.061973464,0.076584123,0.06377847,0.052892938,0.060699138,0.093636747,0.47155,0.522583333,0.47155,0.065909006
12/6/2025,0.47155,0.47155,0.31804,0.31804,0.47155,0.030190244,0.069376489,0.061114067,0.098327246,0.056919417
12/7/2025,0.086874328,0.109741441,0.127837838,0.064160117,0.11149816,0.02629098,0.049603859,0.026504605,0.047234343,0.038178017
12/8/2025,0.075950333,0.079746644,0.081119454,0.100641522,0.074425828,0.080131148,0.03567161,0.062881545,0.054496552,0.058818533
12/9/2025,0.082030043,0.065563948,0.087890871,0.072072034,0.093948523,0.058523013,0.079151938,0.056568872,0.056659514,0.086341991
12/10/2025,0.082958436,0.095622179,0.069388115,0.033260887,0.050927203,0.076187173,0.058907826,0.096405785,0.094466667,0.066486352
12/11/2025,0.0955592,0.134651883,0.093698805,0.031727755,0.100496234,0.106142857,0.047131959,0.064451194,0.059265333,0.092381818
12/12/2025,0.096263704,0.096763971,0.115569173,0.078685294,0.074545038,,0.0903,0.169366667,0.309833333,
