contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
C260102P00060000,2025-12-29 20:27:49+00:00,60.0,0.04,0.0,0.05,0.0,0.0,6.0,3,3.3750015624999996,False,REGULAR,USD,2026-01-02
C260102P00065000,2025-12-29 20:27:49+00:00,65.0,0.04,0.0,2.13,0.0,0.0,6.0,2,5.369143913574217,False,REGULAR,USD,2026-01-02
C260102P00070000,2025-12-29 17:23:56+00:00,70.0,0.12,0.0,2.12,0.0,0.0,4.0,53,4.789066513671875,False,REGULAR,USD,2026-01-02
C260102P00075000,2025-12-29 17:23:56+00:00,75.0,0.12,0.0,2.12,0.0,0.0,4.0,6,4.2519578100585935,False,REGULAR,USD,2026-01-02
C260102P00080000,2025-12-29 17:21:09+00:00,80.0,0.01,0.0,2.13,0.0,0.0,2.0,81,3.7480475048828126,False,REGULAR,USD,2026-01-02
C260102P00085000,2025-12-29 17:21:09+00:00,85.0,0.01,0.0,2.13,0.0,0.0,2.0,529,3.2656268359375,False,REGULAR,USD,2026-01-02
C260102P00087000,2025-12-29 20:23:04+00:00,87.0,0.13,0.0,2.13,0.0,0.0,6.0,65,3.0771507446289057,False,REGULAR,USD,2026-01-02
C260102P00088000,2025-12-29 20:23:04+00:00,88.0,0.13,0.0,1.66,0.0,0.0,6.0,32,2.7959014477539066,False,REGULAR,USD,2026-01-02
C260102P00089000,2025-12-29 17:57:11+00:00,89.0,0.01,0.0,2.13,0.0,0.0,2.0,52,2.8925808935546877,False,REGULAR,USD,2026-01-02
C260102P00090000,2025-12-29 17:57:11+00:00,90.0,0.01,0.0,0.12,0.0,0.0,2.0,41,1.6015644921874999,False,REGULAR,USD,2026-01-02
C260102P00091000,2025-12-31 17:41:02+00:00,91.0,0.1,0.0,2.13,0.09,900.0001,2.0,122,2.7099641625976565,False,REGULAR,USD,2026-01-02
C260102P00092000,2025-12-31 17:41:02+00:00,92.0,0.1,0.0,0.2,0.09,900.0001,2.0,132,1.5937520312499998,False,REGULAR,USD,2026-01-02
C260102P00093000,2025-12-29 17:26:12+00:00,93.0,0.03,0.0,0.04,0.0,0.0,12.0,236,1.2343788281249999,False,REGULAR,USD,2026-01-02
C260102P00094000,2025-12-29 17:26:12+00:00,94.0,0.03,0.0,0.15,0.0,0.0,2.0,48,1.40625296875,False,REGULAR,USD,2026-01-02
C260102P00095000,2025-12-31 17:46:17+00:00,95.0,0.01,0.0,0.22,0.0,0.0,3.0,1035,1.4296903515625,False,REGULAR,USD,2026-01-02
C260102P00096000,2025-12-31 17:46:17+00:00,96.0,0.01,0.0,1.29,-0.13,-92.85714,2.0,41,1.96875015625,False,REGULAR,USD,2026-01-02
C260102P00097000,2025-12-29 15:36:44+00:00,97.0,0.01,0.0,0.02,0.0,0.0,10.0,404,0.9531254687499999,False,REGULAR,USD,2026-01-02
C260102P00098000,2025-12-31 17:51:19+00:00,98.0,0.12,0.0,0.74,-0.020000003,-14.285716,2.0,26,1.5781271093749998,False,REGULAR,USD,2026-01-02
C260102P00099000,2025-12-31 17:51:19+00:00,99.0,0.12,0.0,0.44,-0.21000001,-63.636364,2.0,24,1.3457063964843747,False,REGULAR,USD,2026-01-02
C260102P00100000,2025-12-29 20:59:47+00:00,100.0,0.01,0.0,0.04,0.0,0.0,283.0,758,0.87500125,False,REGULAR,USD,2026-01-02
C260102P00101000,2025-12-26 16:56:15+00:00,101.0,0.01,0.0,0.07,0.0,0.0,20.0,38,0.8906260937499999,False,REGULAR,USD,2026-01-02
C260102P00102000,2025-12-31 20:48:31+00:00,102.0,0.01,0.0,0.01,0.0,0.0,5.0,166,0.6562534375000001,False,REGULAR,USD,2026-01-02
C260102P00103000,2025-12-29 19:05:04+00:00,103.0,0.03,0.0,0.07,0.0,0.0,2.0,209,0.7812521875,False,REGULAR,USD,2026-01-02
C260102P00104000,2025-12-29 17:03:10+00:00,104.0,0.02,0.0,0.02,0.0,0.0,92.0,193,0.6250037500000001,False,REGULAR,USD,2026-01-02
C260102P00105000,2025-12-30 17:31:54+00:00,105.0,0.02,0.0,0.03,0.0,0.0,116.0,445,0.6015664843750002,False,REGULAR,USD,2026-01-02
C260102P00106000,2025-12-30 14:39:13+00:00,106.0,0.02,0.0,0.03,0.0,0.0,22.0,214,0.5546919531250001,False,REGULAR,USD,2026-01-02
C260102P00107000,2025-12-31 20:54:32+00:00,107.0,0.03,0.01,0.03,0.02,200.0,268.0,931,0.523442265625,False,REGULAR,USD,2026-01-02
C260102P00108000,2025-12-31 20:33:46+00:00,108.0,0.08,0.01,0.06,0.07,700.0,7.0,756,0.5195360546875,False,REGULAR,USD,2026-01-02
C260102P00109000,2025-12-31 18:03:21+00:00,109.0,0.02,0.01,0.08,0.0,0.0,11.0,532,0.5390671093750001,False,REGULAR,USD,2026-01-02
C260102P00110000,2025-12-31 20:14:48+00:00,110.0,0.01,0.01,0.23,-0.02,-66.66667,10.0,1122,0.5214891601562499,False,REGULAR,USD,2026-01-02
C260102P00111000,2025-12-31 18:31:38+00:00,111.0,0.01,0.01,0.03,-0.04,-79.99999,219.0,412,0.34961587890624996,False,REGULAR,USD,2026-01-02
C260102P00112000,2025-12-31 19:58:02+00:00,112.0,0.02,0.02,0.04,-0.030000001,-60.000004,26.0,899,0.31250687499999996,False,REGULAR,USD,2026-01-02
C260102P00113000,2025-12-31 19:47:01+00:00,113.0,0.03,0.03,0.05,-0.04,-57.142853,8.0,519,0.26758544921875,False,REGULAR,USD,2026-01-02
C260102P00114000,2025-12-31 19:14:34+00:00,114.0,0.05,0.06,0.07,-0.05,-50.0,45.0,514,0.22461712890624996,False,REGULAR,USD,2026-01-02
C260102P00115000,2025-12-31 20:58:57+00:00,115.0,0.13,0.11,0.14,-0.040000007,-23.529415,254.0,1348,0.196297099609375,False,REGULAR,USD,2026-01-02
C260102P00116000,2025-12-31 20:58:40+00:00,116.0,0.3,0.28,0.32,0.0,0.0,1079.0,983,0.1757894921875,False,REGULAR,USD,2026-01-02
C260102P00117000,2025-12-31 20:53:22+00:00,117.0,0.69,0.66,0.75,0.06999999,11.290321,432.0,1501,0.16846534667968754,True,REGULAR,USD,2026-01-02
C260102P00118000,2025-12-31 20:57:58+00:00,118.0,1.33,1.29,1.47,0.13999999,11.764705,442.0,1362,0.17383638671875,True,REGULAR,USD,2026-01-02
C260102P00119000,2025-12-31 20:58:40+00:00,119.0,2.28,2.16,2.38,0.26999998,13.432835,546.0,1644,0.196297099609375,True,REGULAR,USD,2026-01-02
C260102P00120000,2025-12-31 20:58:26+00:00,120.0,3.21,3.1,3.45,0.22000003,7.3578606,37.0,493,0.30664755859375,True,REGULAR,USD,2026-01-02
C260102P00121000,2025-12-31 16:04:02+00:00,121.0,4.0,2.92,5.3,-0.099999905,-2.439022,34.0,176,0.7397486962890624,True,REGULAR,USD,2026-01-02
C260102P00122000,2025-12-30 20:49:23+00:00,122.0,5.1,3.85,6.45,0.0,0.0,107.0,1,0.8789074609374999,True,REGULAR,USD,2026-01-02
C260102P00123000,2025-12-30 16:31:59+00:00,123.0,6.12,4.25,8.0,0.0,0.0,10.0,5,1.1577190551757814,True,REGULAR,USD,2026-01-02
C260102P00124000,2025-12-29 16:00:47+00:00,124.0,5.35,5.9,8.7,0.0,0.0,4.0,0,1.1357465087890626,True,REGULAR,USD,2026-01-02
C260102P00125000,2025-12-29 14:44:00+00:00,125.0,5.75,6.9,9.45,0.0,0.0,29.0,0,1.1196333081054686,True,REGULAR,USD,2026-01-02
C260102P00126000,2025-12-29 15:24:09+00:00,126.0,7.28,7.25,10.65,0.0,0.0,2.0,0,1.2739294116210935,True,REGULAR,USD,2026-01-02
C260102P00127000,2025-12-24 17:45:32+00:00,127.0,5.05,8.25,11.45,0.0,0.0,,0,1.2666052294921872,True,REGULAR,USD,2026-01-02
C260102P00128000,2025-12-26 15:04:51+00:00,128.0,5.95,9.25,13.1,0.0,0.0,1.0,0,1.5976582617187498,True,REGULAR,USD,2026-01-02
C260109P00085000,2025-12-16 14:48:06+00:00,85.0,1.15,0.0,2.13,0.0,0.0,3.0,4,1.5390648046875,False,REGULAR,USD,2026-01-09
C260109P00087000,2025-12-22 16:20:39+00:00,87.0,0.03,0.0,0.05,0.0,0.0,6.0,7,0.7500025,False,REGULAR,USD,2026-01-09
C260109P00088000,2025-12-22 16:20:25+00:00,88.0,0.02,0.0,0.04,0.0,0.0,,3,0.710940390625,False,REGULAR,USD,2026-01-09
C260109P00089000,2025-12-22 16:20:25+00:00,89.0,0.02,0.0,0.05,0.0,0.0,3.0,7,0.70312796875,False,REGULAR,USD,2026-01-09
C260109P00090000,2025-12-31 17:32:30+00:00,90.0,0.01,0.0,0.01,-0.03,-75.0,13.0,61,0.5625043750000001,False,REGULAR,USD,2026-01-09
C260109P00091000,2025-12-26 16:41:54+00:00,91.0,0.01,0.0,0.75,0.0,0.0,20.0,20,0.992187578125,False,REGULAR,USD,2026-01-09
C260109P00092000,2025-12-29 19:28:26+00:00,92.0,0.01,0.0,0.75,0.0,0.0,1.0,30,0.956055126953125,False,REGULAR,USD,2026-01-09
C260109P00093000,2025-12-12 15:23:18+00:00,93.0,0.16,0.0,0.74,0.0,0.0,1.0,43,0.9179695703125,False,REGULAR,USD,2026-01-09
C260109P00094000,2025-12-04 16:06:32+00:00,94.0,0.47,0.0,0.75,0.0,0.0,2.0,4,0.885743330078125,False,REGULAR,USD,2026-01-09
C260109P00095000,2025-12-30 18:57:48+00:00,95.0,0.01,0.0,0.34,0.0,0.0,2.0,405,0.726565234375,False,REGULAR,USD,2026-01-09
C260109P00096000,2025-12-31 18:41:17+00:00,96.0,0.01,0.0,0.01,-0.01,-50.0,3.0,224,0.4687553125,False,REGULAR,USD,2026-01-09
C260109P00097000,2025-12-31 17:35:00+00:00,97.0,0.03,0.0,0.23,-0.14,-82.35294,15.0,154,0.6201209863281252,False,REGULAR,USD,2026-01-09
C260109P00098000,2025-12-17 15:33:11+00:00,98.0,0.19,0.0,0.03,0.0,0.0,2.0,17,0.48438015625,False,REGULAR,USD,2026-01-09
C260109P00099000,2025-12-19 16:42:29+00:00,99.0,0.14,0.0,0.95,0.0,0.0,2.0,7,0.752932158203125,False,REGULAR,USD,2026-01-09
C260109P00100000,2025-12-31 19:07:44+00:00,100.0,0.05,0.03,0.04,0.0,0.0,8.0,468,0.45313046875,False,REGULAR,USD,2026-01-09
C260109P00101000,2025-12-22 17:21:34+00:00,101.0,0.11,0.0,0.95,0.0,0.0,5.0,41,0.6816438085937502,False,REGULAR,USD,2026-01-09
C260109P00102000,2025-12-30 20:26:10+00:00,102.0,0.04,0.0,0.31,0.0,0.0,17.0,30,0.5019581054687501,False,REGULAR,USD,2026-01-09
C260109P00103000,2025-12-29 14:56:07+00:00,103.0,0.07,0.03,0.07,0.0,0.0,1.0,25,0.4101621484375,False,REGULAR,USD,2026-01-09
C260109P00104000,2025-12-29 20:41:44+00:00,104.0,0.09,0.04,0.08,0.0,0.0,25.0,110,0.39063109375,False,REGULAR,USD,2026-01-09
C260109P00105000,2025-12-31 19:34:19+00:00,105.0,0.08,0.05,0.09,0.009999998,14.285712,5.0,207,0.3711000390625,False,REGULAR,USD,2026-01-09
C260109P00106000,2025-12-30 18:29:12+00:00,106.0,0.14,0.06,0.1,0.0,0.0,1.0,242,0.3505924316406249,False,REGULAR,USD,2026-01-09
C260109P00107000,2025-12-31 19:02:58+00:00,107.0,0.09,0.06,0.1,-0.019999996,-18.181814,10.0,303,0.32227240234374993,False,REGULAR,USD,2026-01-09
C260109P00108000,2025-12-31 20:24:33+00:00,108.0,0.12,0.09,0.15,-0.04,-25.0,547.0,152,0.3193427441406249,False,REGULAR,USD,2026-01-09
C260109P00109000,2025-12-30 18:19:38+00:00,109.0,0.17,0.11,0.18,-0.010000005,-5.555558,1.0,193,0.301764794921875,False,REGULAR,USD,2026-01-09
C260109P00110000,2025-12-31 18:38:23+00:00,110.0,0.17,0.16,0.19,-0.049999997,-22.727272,47.0,527,0.2739330419921875,False,REGULAR,USD,2026-01-09
C260109P00111000,2025-12-31 19:13:16+00:00,111.0,0.23,0.19,0.26,-0.049999997,-17.857141,207.0,123,0.26367923828125,False,REGULAR,USD,2026-01-09
C260109P00112000,2025-12-31 19:56:56+00:00,112.0,0.34,0.28,0.36,-0.060000002,-15.000001,9.0,485,0.25391371093750004,False,REGULAR,USD,2026-01-09
C260109P00113000,2025-12-31 19:48:37+00:00,113.0,0.42,0.43,0.52,-0.07000002,-14.285718,178.0,704,0.249030947265625,False,REGULAR,USD,2026-01-09
C260109P00114000,2025-12-31 20:59:09+00:00,114.0,0.66,0.62,0.68,0.02000004,3.1250064,1544.0,371,0.2348709326171875,False,REGULAR,USD,2026-01-09
C260109P00115000,2025-12-31 20:59:08+00:00,115.0,0.91,0.88,0.95,0.050000012,5.813955,185.0,840,0.22876747802734376,False,REGULAR,USD,2026-01-09
C260109P00116000,2025-12-31 20:59:02+00:00,116.0,1.27,1.23,1.3,0.120000005,10.434783,98.0,392,0.22266402343749997,False,REGULAR,USD,2026-01-09
C260109P00117000,2025-12-31 20:59:53+00:00,117.0,1.69,1.67,1.78,0.120000005,7.6433125,398.0,6320,0.22144333251953124,True,REGULAR,USD,2026-01-09
C260109P00118000,2025-12-31 20:41:15+00:00,118.0,2.23,2.22,2.33,0.16000009,7.729473,393.0,2010,0.21631643066406248,True,REGULAR,USD,2026-01-09
C260109P00119000,2025-12-31 20:36:41+00:00,119.0,2.65,2.84,2.98,-0.059999943,-2.21402,51.0,233,0.21143366699218746,True,REGULAR,USD,2026-01-09
C260109P00120000,2025-12-31 20:29:02+00:00,120.0,3.6,3.25,3.9,0.19999981,5.882347,51.0,406,0.2395095581054687,True,REGULAR,USD,2026-01-09
C260109P00121000,2025-12-31 16:04:02+00:00,121.0,4.25,4.05,4.75,-0.07000017,-1.6203742,11.0,189,0.2485426708984375,True,REGULAR,USD,2026-01-09
C260109P00122000,2025-12-31 14:40:49+00:00,122.0,5.4,4.9,5.7,0.17000008,3.2504792,10.0,219,0.27149166015625,True,REGULAR,USD,2026-01-09
C260109P00123000,2025-12-31 18:46:14+00:00,123.0,6.12,5.85,6.65,-0.07999992,-1.2903214,3.0,88,0.2915109912109374,True,REGULAR,USD,2026-01-09
C260109P00124000,2025-12-31 15:50:10+00:00,124.0,7.12,6.8,7.6,0.119999886,1.7142842,2.0,47,0.30811238769531246,True,REGULAR,USD,2026-01-09
C260109P00125000,2025-12-30 20:25:06+00:00,125.0,7.99,6.65,9.35,0.0,0.0,1.0,15,0.508793974609375,True,REGULAR,USD,2026-01-09
C260109P00126000,2025-12-26 17:36:10+00:00,126.0,6.4,7.25,10.45,0.0,0.0,4.0,1,0.5629926513671876,True,REGULAR,USD,2026-01-09
C260109P00127000,2025-12-24 17:51:54+00:00,127.0,5.8,8.85,11.45,0.0,0.0,,0,0.5971719970703125,True,REGULAR,USD,2026-01-09
C260109P00130000,2025-12-24 17:46:20+00:00,130.0,8.18,11.25,14.45,0.0,0.0,,0,0.6948272705078126,True,REGULAR,USD,2026-01-09
C260116P00020000,2025-12-01 16:38:46+00:00,20.0,0.07,0.0,0.05,0.0,0.0,1.0,4243,3.0468773828125,False,REGULAR,USD,2026-01-16
