contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
AMZN251017C00085000,2025-10-16 19:48:48+00:00,85.0,129.8,127.3,129.95,0.44000244,0.34013793,1.0,147,8.960941899414061,True,REGULAR,USD,2025-10-17
AMZN251017C00090000,2025-10-16 19:49:04+00:00,90.0,124.84,122.3,124.45,0.5,0.4021232,1.0,200,7.7500003125,True,REGULAR,USD,2025-10-17
AMZN251017C00095000,2025-10-15 19:20:56+00:00,95.0,120.03,117.05,120.0,0.0,0.0,4.0,15,7.726562841796875,True,REGULAR,USD,2025-10-17
AMZN251017C00100000,2025-10-16 14:42:28+00:00,100.0,111.7,112.45,113.6,-6.800003,-5.738399,2.0,155,7.4531256835937505,True,REGULAR,USD,2025-10-17
AMZN251017C00105000,2025-10-16 19:48:48+00:00,105.0,109.37,107.1,110.0,0.0,0.0,10.0,20,6.910157612304687,True,REGULAR,USD,2025-10-17
AMZN251017C00110000,2025-10-17 19:07:42+00:00,110.0,103.04,102.45,104.3,-1.3099976,-1.2553881,2.0,553,6.085939892578125,True,REGULAR,USD,2025-10-17
AMZN251017C00115000,2025-10-15 17:14:51+00:00,115.0,98.62,97.15,100.0,0.0,0.0,4.0,38,6.160158549804686,True,REGULAR,USD,2025-10-17
AMZN251017C00120000,2025-10-17 15:45:24+00:00,120.0,91.7,92.2,95.0,-4.050003,-4.2297683,3.0,87,5.828127714843751,True,REGULAR,USD,2025-10-17
AMZN251017C00125000,2025-10-17 15:45:24+00:00,125.0,86.76,87.1,89.4,-4.689995,-5.12848,3.0,726,4.687504140625,True,REGULAR,USD,2025-10-17
AMZN251017C00130000,2025-10-17 17:48:25+00:00,130.0,83.64,82.25,85.0,-3.040001,-3.5071537,3.0,322,5.1484410644531255,True,REGULAR,USD,2025-10-17
AMZN251017C00135000,2025-10-17 17:19:09+00:00,135.0,77.24,77.1,80.05,-5.4000015,-6.5343676,19.0,202,4.730472836914062,True,REGULAR,USD,2025-10-17
AMZN251017C00140000,2025-10-17 15:53:09+00:00,140.0,73.06,71.9,75.0,-1.5699997,-2.1037114,15.0,488,4.20312974609375,True,REGULAR,USD,2025-10-17
AMZN251017C00145000,2025-10-17 14:36:42+00:00,145.0,68.0,67.15,70.2,-3.5100021,-4.908407,2.0,1010,4.216801604003906,True,REGULAR,USD,2025-10-17
AMZN251017C00150000,2025-10-17 14:56:15+00:00,150.0,61.25,62.15,63.6,-3.2300034,-5.0093102,23.0,543,3.8085942285156253,True,REGULAR,USD,2025-10-17
AMZN251017C00155000,2025-10-17 19:38:15+00:00,155.0,58.33,57.75,59.25,-0.51999664,-0.8835967,23.0,1524,3.378907802734375,True,REGULAR,USD,2025-10-17
